name,mass,error_plus,error_minus,error_symmetric,category,reference
4U1700-377,1.96,0.19,0.19,0.19,X-Ray/Optical,a (1)
 Cyg X-2,1.71,0.21,0.21,0.21,X-Ray/Optical,d (3)
SMC X-1,1.21,0.12,0.12,0.12,X-Ray/Optical,a (1)
Cen X-3,1.57,0.16,0.16,0.16,X-Ray/Optical,a (1)
XTE J2123-058,1.53,0.3,0.42,,X-Ray/Optical,l (4)
4U 1822-371,1.96,0.36,0.36,,X-Ray/Optical,n (6)
B1957+20,2.39,0.36,0.29,,X-Ray/Optical,Q (7)
OAO 1657-415,1.74,0.3,0.3,0.3,X-Ray/Optical,a (1)
J01326.7+303228,2,0.4,0.4,0.4,X-Ray/Optical,L (9)
Vela X-1,2.12,0.16,0.16,0.16,X-Ray/Optical,a (1)
4U1538-522,1.02,0.17,0.17,0.17,X-Ray/Optical,a (1)
LMC X-4,1.57,0.11,0.11,0.11,X-Ray/Optical,a (1)
Her X-1,1.073,0.358,0.173,,X-Ray/Optical,b (2)
2S 0921-630,1.44,0.1,0.1,0.1,X-Ray/Optical,F (5)
EXO 1722-363,1.91,0.45,0.45,0.45,X-Ray/Optical,a (1)
SAX J1802.7-2017,1.57,0.25,0.25,0.25,X-Ray/Optical,a (1)
J1311-3430,2.56,0.52,0.52,0.52,X-Ray/Optical,R (8)
XTE J1855-026,1.41,0.24,0.24,0.24,X-Ray/Optical,a (1)
J1453+1559,1.559,0.004,0.004,0.004,NS-NS,z (10)
companion to J1453+1559,1.174,0.004,0.004,0.004,NS-NS,z (10)
J1906+0746,1.291,0.011,0.011,0.011,NS-NS,B (11)
companion to J1906+0746,1.322,0.011,0.011,0.011,NS-NS,B (11)
B1534+12,1.3332,0.001,0.001,0.001,NS-NS,D (12)
companion to B1534+12,1.3452,0.001,0.001,0.001,NS-NS,D (12)
B1913+16,1.4398,0.0002,0.0002,0.0002,NS-NS,q (13)
companion to B1913+16,1.3886,0.0002,0.0002,0.0002,NS-NS,q (13)
B2127+11C,1.358,0.01,0.01,0.01,NS-NS,x (14)
companion to B2127+11C,1.354,0.01,0.01,0.01,NS-NS,x (14)
J0737-3039A,1.3381,0.0007,0.0007,0.0007,NS-NS,i (15)
J0737-3039B,1.2489,0.0007,0.0007,0.0007,NS-NS,i (15)
J1756-2251,1.312,0.017,0.017,0.017,NS-NS,J (16)
companion to J1756-2251,1.258,0.017,0.017,0.017,NS-NS,J (16)
J1807-2500B,1.3655,0.0021,0.0021,0.0021,NS-NS,s (17)
companion to J1807-2500B,1.2064,0.002,0.002,0.002,NS-NS,s (17)
B2303+46,1.38,0.06,0.1,,NS-WD,e (18)
J1012+5307,1.83,0.11,0.11,0.11,NS-WD,m (19)
J1713+0747,1.31,0.11,0.11,0.11,NS-WD,r (20)
 B1802-07,1.27,0.08,0.17,,NS-WD,e (18)
B1855+09,1.3,0.11,0.1,,NS-WD,P (31)
J0621+1002,1.53,0.1,0.2,,NS-WD,y (21)
J0751+1807,1.72,0.07,0.07,0.07,NS-WD,w (37)
J0437-4715,1.44,0.07,0.07,0.07,NS-WD,p (22)
J1141-6545,1.27,0.01,0.01,0.01,NS-WD,j (23)
J1748-2446I,1.91,0.02,0.1,,NS-WD,o (24)
J1748-2446J,1.79,0.02,0.1,,NS-WD,o (24)
J1909-3744,1.55,0.03,0.03,0.03,NS-WD,P (31)
J0024-7204H,1.48,0.03,0.06,,NS-WD,o (24)
B1802-2124,1.24,0.11,0.11,0.11,NS-WD,U (26)
J0514-4002A,1.49,0.04,0.27,,NS-WD,o (24)
B1516+02B,2.08,0.19,0.19,0.19,NS-WD,I (27)
J1748-2021B,2.74,0.21,0.21,0.21,NS-WD,H (28)
J1750-37A,1.26,0.39,0.36,,NS-WD,H (28)
J1738+0333,1.47,0.07,0.06,,NS-WD,v (29)
B1911-5958A,1.34,0.08,0.08,0.08,NS-WD,O (30)
J1614-2230,1.928,0.017,0.017,0.017,NS-WD,P (31)
J2043+1711,1.41,0.21,0.18,,NS-WD,P (31)
J0348+0432,2.01,0.04,0.04,0.04,NS-WD,E (32)
J0337+1715,1.4378,0.0013,0.0013,0.0013,NS-WD,S (34)
J2222-0137,1.2,0.14,0.14,0.14,NS-WD,c (38)
J1946+2417,1.832,0.028,0.028,0.028,NS-WD,f (39)
J2234+0611,1.393,0.013,0.013,0.013,NS-WD,G (40)
J1918-0642,1.18,0.1,0.09,,NS-WD,P (31)
J1949+3106,1.47,0.43,0.31,,NS-WD,T (41)
J0045-7319,1.58,0.34,0.34,0.34,NS-MS,M (35)
J1903+0327,1.667,0.021,0.021,0.021,NS-MS,N (36)
J1023+0038,1.71,0.16,0.16,0.16,NS-MS,K (33)
J0740+6620,2.08,0.07,0.07,0.07,NS-WD,Cromartie2020
